journal name,ISSN,e-ISSN,category,citations,impact factor
IEEE Transactions on Cybernetics,2168-2267,2168-2275,Artificial Intelligence,38676,19.118
ACM Transactions on Storage,1553-3077,1553-3093,Hardware & Architecture,548,1.229
New Generation Computing,0288-3635,1882-7055,Theory & Methods,432,1.18
Computer Science and Information Systems,1820-0214,1820-0214,Information Systems,455,1.17
Caai Transactions on Intelligence Technology,2468-6557,2468-2322,Artificial Intelligence,812,7.985
Journal of the American Medical Informatics Association,1067-5027,1527-974X,Information Systems,15055,7.942
International Journal of Electronic Commerce,1086-4415,1557-9301,Software Engineering,3370,7.73
Journal of Network and Computer Applications,1084-8045,1095-8592,Software Engineering,10623,7.574
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1942-4787,1942-4795,Theory & Methods,2821,7.558
ACM Transactions on Graphics,0730-0301,1557-7368,Software Engineering,26319,7.403
Future Generation Computer Systems-the International Journal of Escience,0167-739X,1872-7115,Theory & Methods,24800,7.307
Journal of Automated Reasoning,0168-7433,1573-0670,Artificial Intelligence,935,1.15
IET Software,1751-8806,1751-8814,Software Engineering,553,1.15
Journal of Information Science and Engineering,1016-2364,N/A,Information Systems,787,1.142
Journal of Internet Technology,1607-9264,2079-4029,Information Systems,829,1.14
ACM Transactions on Algorithms,1549-6325,1549-6333,Theory & Methods,1023,1.113
Formal Methods in System Design,0925-9856,1572-8102,Theory & Methods,528,1.1
Graphical Models,1524-0703,1524-0711,Software Engineering,914,1.094
International Journal on Artificial Intelligence Tools,0218-2130,1793-6349,Interdisciplinary Applications,773,1.059
Journal of Universal Computer Science,0948-695X,0948-6968,Theory & Methods,1132,1.056
Journal of Computer and System Sciences,0022-0000,1090-2724,Theory & Methods,4964,1.043
Science of Computer Programming,0167-6423,1872-7964,Software Engineering,1367,1.039
AI Communications,0921-7126,1875-8452,Artificial Intelligence,553,1.029
International Journal of Uncertainty Fuzziness and Knowledge-Based Systems,0218-4885,1793-6411,Artificial Intelligence,2001,1.027
Computer Animation and Virtual Worlds,1546-4261,1546-427X,Software Engineering,584,1.01
Theoretical Computer Science,0304-3975,1879-2294,Theory & Methods,10110,1.002
Design Automation For Embedded Systems,0929-5585,1572-8080,Software Engineering,173,1
Parallel Computing,0167-8191,1872-7336,Theory & Methods,1759,0.983
Distributed and Parallel Databases,0926-8782,1573-7578,Theory & Methods,366,0.974
International Journal of Unconventional Computing,1548-7199,1548-7202,Theory & Methods,124,0.973
International Arab Journal of Information Technology,1683-3198,1683-3198,Artificial Intelligence,839,0.967
IET Computers and Digital Techniques,1751-8601,1751-861X,Theory & Methods,327,0.906
Formal Aspects of Computing,0934-5043,1433-299X,Software Engineering,401,0.886
Acta Informatica,0001-5903,1432-0525,Information Systems,841,0.871
Turkish Journal of Electrical Engineering and Computer Sciences,1300-0632,1303-6203,Artificial Intelligence,2004,0.853
Information Processing Letters,0020-0190,1872-6119,Information Systems,3878,0.851
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Interdisciplinary Applications,743,0.851
Advances in Electrical and Computer Engineering,1582-7445,1844-7600,Artificial Intelligence,435,0.825
International Journal of Web and Grid Services,1741-1106,1741-1114,Information Systems,408,0.825
Theory of Computing,1557-2862,1557-2862,Theory & Methods,184,0.816
Information Technology and Control,1392-124X,N/A,Artificial Intelligence,326,0.813
Programming and Computer Software,0361-7688,1608-3261,Software Engineering,334,0.801
International Journal of Web Services Research,1545-7362,1546-5004,Software Engineering,128,0.771
Journal of Computer and Systems Sciences International,1064-2307,1555-6530,Theory & Methods,542,0.722
Ieice Transactions on Information and Systems,1745-1361,1745-1361,Information Systems,2362,0.695
Applicable Algebra in Engineering Communication and Computing,0938-1279,1432-0622,Theory & Methods,538,0.693
Kybernetika,0023-5954,N/A,Cybernetics,1031,0.69
Computer Music Journal,0148-9267,1531-5169,Interdisciplinary Applications,355,0.688
International Journal of Foundations of Computer Science,0129-0541,1793-6373,Theory & Methods,675,0.662
Discrete & Computational Geometry,0179-5376,1432-0444,Theory & Methods,2486,0.639
Mathematical Structures in Computer Science,0960-1295,1469-8072,Theory & Methods,614,0.616
Constraints,1383-7133,1572-9354,Theory & Methods,332,0.583
Journal of Web Engineering,1540-9589,1544-5976,Theory & Methods,168,0.575
International Journal of Cooperative Information Systems,0218-8430,1793-6365,Information Systems,178,0.563
Computing and Informatics,1335-9150,1335-9150,Artificial Intelligence,366,0.455
Malaysian Journal of Computer Science,0127-9084,0127-9084,Artificial Intelligence,179,0.436
Ieice Transactions on Fundamentals of Electronics Communications and Computer Sciences,0916-8508,1745-1337,Information Systems,1487,0.423
Science China-Information Sciences,1674-733X,1869-1919,Information Systems,5794,7.275
IEEE Transactions on Information Forensics and Security,1556-6013,1556-6021,Theory & Methods,15383,7.231
Computers & Industrial Engineering,0360-8352,1879-0550,Interdisciplinary Applications,27459,7.18
IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,Interdisciplinary Applications,11304,7.021
Artificial Intelligence in Medicine,0933-3657,1873-2860,Artificial Intelligence,5314,7.011
Decision Support Systems,0167-9236,1873-5797,Artificial Intelligence,15272,6.969
IEEE Transactions on Dependable and Secure Computing,1545-5971,1941-0018,Information Systems,4678,6.791
Complex & Intelligent Systems,2199-4536,2198-6053,Artificial Intelligence,1941,6.7
Icga Journal,1389-6911,2468-2438,Software Engineering,68,0.22
Bell Labs Technical Journal,1089-7089,1538-7305,Information Systems,340,0
Romanian Journal of Information Technology and Automatic Control-Revista Romana De Informatica Si Automatica,1220-1758,1841-4303,Interdisciplinary Applications,33,N/A
International Journal of Embedded and Real-Time Communication Systems (Ijertcs),1947-3176,1947-3184,Software Engineering,27,N/A
International Journal of Software Science and Computational Intelligence-Ijssci,1942-9045,1942-9037,Software Engineering,97,N/A
International Journal of Agricultural and Environmental Information Systems,1947-3192,1947-3206,Interdisciplinary Applications,141,N/A
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,Information Systems,114,N/A
Adcaij-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,2255-2863,Artificial Intelligence,91,N/A
International Journal of Knowledge-Based and Intelligent Engineering Systems,1327-2314,1875-8827,Artificial Intelligence,183,N/A
Iadis-International Journal on Computer Science and Information Systems,1646-3692,1646-3692,Interdisciplinary Applications,35,N/A
International Journal of Cognitive Informatics and Natural Intelligence,1557-3958,1557-3966,Artificial Intelligence,166,N/A
International Journal of Communication Networks and Distributed Systems,1754-3916,1754-3924,Information Systems,287,N/A
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,1137-3601,1988-3064,Artificial Intelligence,241,N/A
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,2329-9231,2329-9231,Hardware & Architecture,309,N/A
Journal of Advanced Computational Intelligence and Intelligent Informatics,1343-0130,1883-8014,Artificial Intelligence,513,N/A
Bulletin of the European Association For Theoretical Computer Science,0252-9742,0252-9742,Theory & Methods,111,N/A
International Journal of Innovative Computing Information and Control,1349-4198,1349-418X,Artificial Intelligence,1481,N/A
International Journal of Modeling Simulation and Scientific Computing,1793-9623,1793-9615,Theory & Methods,437,N/A
International Journal of Information Technologies and Systems Approach,1935-570X,1935-5718,Information Systems,58,N/A
International Journal of Advanced Computer Science and Applications,2158-107X,2156-5570,Theory & Methods,4663,N/A
International Journal of Information Technology and Web Engineering,1554-1045,1554-1053,Information Systems,108,N/A
International Journal of Computational Intelligence and Applications,1469-0268,1757-5885,Artificial Intelligence,551,N/A
International Journal of Gaming and Computer-Mediated Simulations,1942-3888,1942-3896,Interdisciplinary Applications,267,N/A
International Journal of Multimedia Data Engineering & Management,1947-8534,1947-8542,Software Engineering,45,N/A
International Journal of Electronic Security and Digital Forensics,1751-911X,1751-9128,Information Systems,174,N/A
International Journal of Information Systems in the Service Sector,1935-5688,1935-5696,Information Systems,152,N/A
International Journal of Parallel Emergent and Distributed Systems,1744-5760,1744-5779,Theory & Methods,323,N/A
International Journal of Rf Technologies-Research and Applications,1754-5730,1754-5749,Information Systems,73,N/A
International Journal of Computational Science and Engineering,1742-7185,1742-7193,Interdisciplinary Applications,1302,N/A
International Journal of Computer Science and Network Security,1738-7906,1738-7906,Information Systems,1401,N/A
International Journal of Intelligent Computing and Cybernetics,1756-378X,1756-3798,Cybernetics,497,N/A
International Journal on Information Technologies and Security,1313-8251,1313-8251,Information Systems,63,N/A
Foundations and Trends in Communications and Information Theory,1567-2190,1567-2328,Interdisciplinary Applications,484,N/A
International Journal of Information System Modeling and Design,1947-8186,1947-8194,Information Systems,107,N/A
International Journal of Pervasive Computing and Communications,1742-7371,1742-738X,Interdisciplinary Applications,340,N/A
International Journal of Artificial Intelligence in Education,1560-4292,1560-4306,Interdisciplinary Applications,943,N/A
International Journal of Data Mining Modelling and Management,1759-1163,1759-1171,Artificial Intelligence,90,N/A
International Journal of Distributed Systems and Technologies,1947-3532,1947-3540,Information Systems,95,N/A
International Journal of Intelligent Information Technologies,1548-3657,1548-3665,Information Systems,117,N/A
International Journal of Computer Applications in Technology,0952-8091,1741-5047,Interdisciplinary Applications,670,N/A
International Journal of Fuzzy Logic and Intelligent Systems,1598-2645,2093-744X,Theory & Methods,325,N/A
International Journal of Grid and High Performance Computing,1938-0259,1938-0267,Theory & Methods,92,N/A
International Journal of Information and Learning Technology,2056-4880,2056-4880,Interdisciplinary Applications,405,N/A
International Journal of Intelligent Engineering Informatics,1758-8715,1758-8723,Interdisciplinary Applications,205,N/A
International Journal of Networked and Distributed Computing,2211-7938,2211-7946,Software Engineering,75,N/A
Journal of Information and Communication Technology-Malaysia,1675-414X,2180-3862,Information Systems,161,N/A
International Journal of Ambient Computing and Intelligence,1941-6237,1941-6245,Theory & Methods,292,N/A
International Journal of Decision Support System Technology,1941-6296,1941-630X,Information Systems,113,N/A
International Journal of Mobile Human Computer Interaction,1942-390X,1942-3918,Cybernetics,135,N/A
Communications of the Association For Information Systems,1529-3181,1529-3181,Information Systems,2887,N/A
Eai Endorsed Transactions on Scalable Information Systems,2032-9407,2032-9407,Information Systems,124,N/A
Isecure-Isc International Journal of Information Security,2008-2045,2008-3076,Information Systems,59,N/A
International Journal of Information Security and Privacy,1930-1650,1930-1669,Software Engineering,145,N/A
"Advances in Computational Design, An International Journal",2383-8477,2466-0523,Software Engineering,202,N/A
International Journal of Applied Metaheuristic Computing,1947-8283,1947-8291,Artificial Intelligence,145,N/A
International Journal of Information Retrieval Research,2155-6377,2155-6385,Information Systems,86,N/A
Tem Journal-Technology Education Management Informatics,2217-8309,2217-8333,Information Systems,551,N/A
Ccf Transactions on Pervasive Computing and Interaction,2524-521X,2524-5228,Information Systems,72,N/A
Communications in Mathematical Biology and Neuroscience,2052-2541,2052-2541,Information Systems,303,N/A
International Journal of Enterprise Information Systems,1548-1115,1548-1123,Information Systems,232,N/A
Foundations and Trends in Computer Graphics and Vision,1572-2740,1572-2759,Interdisciplinary Applications,434,N/A
Applied Computational Intelligence and Soft Computing,1687-9724,1687-9732,Artificial Intelligence,377,N/A
International Journal of Internet Protocol Technology,1743-8209,1743-8217,Information Systems,58,N/A
International Journal of System Dynamics Applications,2160-9772,2160-9799,Artificial Intelligence,257,N/A
Automatic Documentation and Mathematical Linguistics,0005-1055,1934-8371,Information Systems,79,N/A
International Journal of Applied Pattern Recognition,2049-887X,2049-8888,Artificial Intelligence,118,N/A
International Journal of Digital Crime and Forensics,1941-6210,1941-6229,Interdisciplinary Applications,135,N/A
International Journal of Swarm Intelligence Research,1947-9263,1947-9271,Artificial Intelligence,218,N/A
International Journal of Data Science and Analytics,2364-415X,2364-4168,Information Systems,560,N/A
International Journal of Grid and Utility Computing,1741-847X,1741-8488,Information Systems,193,N/A
Journal of Computer Virology and Hacking Techniques,2263-8733,2263-8733,Information Systems,654,N/A
Journal of Information and Organizational Sciences,1846-3312,1846-9418,Interdisciplinary Applications,115,N/A
International Journal of Computer Games Technology,1687-7047,1687-7055,Software Engineering,209,N/A
International Journal of Next-Generation Computing,2229-4678,0976-5034,Theory & Methods,42,N/A
ACM Transactions on Management Information Systems,2158-656X,2158-6578,Information Systems,539,N/A
International Journal of Automation and Computing,1476-8186,1751-8520,Artificial Intelligence,1527,N/A
International Journal of Reconfigurable Computing,1687-7195,1687-7209,Hardware & Architecture,163,N/A
International Journal of Web Information Systems,1744-0084,1744-0092,Information Systems,190,N/A
Journal of Algorithms & Computational Technology,1748-3018,1748-3026,Interdisciplinary Applications,295,N/A
Human-Computer Interaction,0737-0024,1532-7051,Cybernetics,1950,6.459
Internet Research,1066-2243,1066-2243,Information Systems,5332,6.353
International Journal of Neural Systems,0129-0657,1793-6462,Artificial Intelligence,2891,6.325
Foundations and Trends in Programming Languages,2325-1107,2325-1131,Software Engineering,76,N/A
Innovations in Systems and Software Engineering,1614-5046,1614-5054,Software Engineering,240,N/A
SICS Software-Intensive Cyber-Physical Systems,2524-8510,2524-8529,Hardware & Architecture,45,N/A
CCF Transactions on High Performance Computing,2524-4922,2524-4930,Hardware & Architecture,46,N/A
Foundations of Computing and Decision Sciences,0867-6356,2300-3405,Artificial Intelligence,198,N/A
Journal of Communications Software and Systems,1845-6421,1846-6079,Information Systems,128,N/A
Journal of Electrical and Computer Engineering,2090-0147,2090-0155,Information Systems,925,N/A
Annual Review of Cybertherapy and Telemedicine,1554-8716,2352-927X,Cybernetics,213,N/A
Intelligent Decision Technologies-Netherlands,1872-4981,1875-8843,Artificial Intelligence,210,N/A
Journal of Digital Forensics Security and Law,1558-7215,1558-7223,Information Systems,129,N/A
Journal of Information Assurance and Security,1554-1010,1554-1029,Information Systems,101,N/A
Journal of Internet Services and Applications,1867-4828,1869-0238,Information Systems,586,N/A
ACM Transactions on Economics and Computation,2167-8375,2167-8383,Interdisciplinary Applications,199,N/A
International Journal of Software Innovation,2166-7160,2166-7179,Software Engineering,83,N/A
Journal of Information and Telecommunication,2475-1839,2475-1847,Information Systems,195,N/A
International Journal of Arts and Technology,1754-8853,1754-8861,Interdisciplinary Applications,74,N/A
Service Oriented Computing and Applications,1863-2386,1863-2394,Interdisciplinary Applications,309,N/A
International Journal of Image and Graphics,0219-4678,1793-6756,Software Engineering,216,N/A
International Journal of Semantic Computing,1793-351X,1793-7108,Artificial Intelligence,159,N/A
Radio Electronics Computer Science Control,1607-3274,2313-688X,Hardware & Architecture,147,N/A
Scalable Computing-Practice and Experience,1895-1767,1895-1767,Software Engineering,185,N/A
E-Informatica Software Engineering Journal,1897-7979,2084-4840,Software Engineering,54,N/A
ACM Journal of Data and Information Quality,1936-1955,1936-1955,Information Systems,279,N/A
Australasian Journal of Information Systems,1449-8618,1326-2238,Information Systems,427,N/A
Journal of Cases on Information Technology,1548-7717,1548-7725,Information Systems,156,N/A
Journal of Information Technology Research,1938-7857,1938-7865,Interdisciplinary Applications,127,N/A
Foundations and Trends in Machine Learning,1935-8237,1935-8245,Artificial Intelligence,3382,N/A
Ipsi Bgd Transactions on Internet Research,1820-4503,1820-4503,Information Systems,26,N/A
Revista Brasileira De Computacao Aplicada,2176-6649,2176-6649,Interdisciplinary Applications,28,N/A
ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,Interdisciplinary Applications,375,N/A
International Journal of Embedded Systems,1741-1068,1741-1076,Hardware & Architecture,293,N/A
Journal of Information Processing Systems,1976-913X,2092-805X,Information Systems,790,N/A
Communications in Information and Systems,1526-7555,2163-4548,Information Systems,293,N/A
IEEE Systems Man and Cybernetics Magazine,2380-1298,2333-942X,Cybernetics,185,N/A
Acta Universitatis Sapientiae Informatica,1844-6086,2066-7760,Theory & Methods,81,N/A
International Journal of E-Collaboration,1548-3673,1548-3681,Information Systems,876,N/A
Journal of Computer Science & Technology,1666-6046,1666-6038,Artificial Intelligence,120,N/A
Journal of Ict Research and Applications,2337-5787,2338-5499,Information Systems,85,N/A
ACM Transactions on Accessible Computing,1936-7228,1936-7236,Interdisciplinary Applications,318,N/A
Cybernetics and Information Technologies,1311-9702,1314-4081,Information Systems,536,N/A
Eurasip Journal on Information Security,2510-523X,2510-523X,Information Systems,507,N/A
Pattern Recognition and Image Analysis,1054-6618,1555-6212,Interdisciplinary Applications,173,N/A
Scientific Annals of Computer Science,1843-8121,1843-8121,Theory & Methods,34,N/A
ACM Transactions on Computation Theory,1942-3454,1942-3462,Theory & Methods,190,N/A
ACM Transactions on Parallel Computing,2329-4949,2329-4957,Theory & Methods,171,N/A
Advances in Human-Computer Interaction,1687-5893,1687-5907,Artificial Intelligence,369,N/A
African Journal of Information Systems,1936-0282,1936-0282,Information Systems,91,N/A
Journal of Chemical Information and Modeling,1549-9596,1549-960X,Information Systems,30162,6.162
IEEE Transactions on Mobile Computing,1536-1233,1558-0660,Information Systems,9932,6.075
Vietnam Journal of Computer Science,2196-8888,2196-8896,Information Systems,136,N/A
Progress in Artificial Intelligence,2192-6352,2192-6360,Artificial Intelligence,837,N/A
Information-Wissenschaft Und Praxis,1434-4653,1619-4292,Information Systems,21,N/A
International Journal of Biometrics,1755-8301,1755-831X,Artificial Intelligence,111,N/A
Journal of Interconnection Networks,0219-2659,1793-6713,Theory & Methods,84,N/A
Computer Science Journal of Moldova,1561-4042,1561-4042,Theory & Methods,64,N/A
Social Network Analysis and Mining,1869-5450,1869-5469,Information Systems,1464,N/A
Journal of Mathematical Cryptology,1862-2976,1862-2984,Theory & Methods,203,N/A
Baltic Journal of Modern Computing,2255-8942,2255-8950,Software Engineering,186,N/A
Review of Socionetwork Strategies,2523-3173,1867-3236,Information Systems,59,N/A
Information and Computer Security,2056-4961,2056-4961,Information Systems,420,N/A
Journal of High Speed Networks,0926-6801,1875-8940,Information Systems,94,N/A
Journal of Intelligent Systems,0334-1860,2191-026X,Artificial Intelligence,644,N/A
Journal of Membrane Computing,2523-8906,2523-8914,Theory & Methods,339,N/A
Transactions on Data Privacy,1888-5063,2013-1631,Theory & Methods,179,N/A
Quantum Machine Intelligence,2524-4906,2524-4914,Artificial Intelligence,147,N/A
Information Security Journal,1939-3555,1939-3547,Information Systems,403,N/A
Journal of Computer Security,0926-227X,1875-8924,Information Systems,670,N/A
Journal of Object Technology,1660-1769,N/A,Software Engineering,262,N/A
Journal of Usability Studies,1931-3357,1931-3357,Cybernetics,800,N/A
Data Science and Engineering,2364-1185,2364-1541,Information Systems,419,N/A
Multiagent and Grid Systems,1574-1702,1875-9076,Theory & Methods,111,N/A
Parallel Processing Letters,0129-6264,1793-642X,Interdisciplinary Applications,222,N/A
IEEE Transactions on Reliability,0018-9529,1558-1721,Hardware & Architecture,8108,5.883
Journal of Systems Architecture,1383-7621,1873-6165,Software Engineering,2467,5.836
Neurocomputing,0925-2312,1872-8286,Artificial Intelligence,54651,5.779
IEEE Transactions on Cloud Computing,2168-7161,2168-7161,Theory & Methods,3065,5.697
Business & Information Systems Engineering,2363-7005,1867-0202,Information Systems,2687,5.675
Electronic Commerce Research and Applications,1567-4223,1873-7846,Information Systems,4943,5.622
Evolutionary Intelligence,1864-5909,1864-5917,Artificial Intelligence,1031,N/A
It-Information Technology,1611-2776,2196-7032,Information Systems,217,N/A
Internetworking Indonesia,1942-9703,1942-9703,Software Engineering,28,N/A
Image Processing on Line,2105-1232,2105-1232,Software Engineering,604,N/A
Intelligenza Artificiale,1724-8035,2211-0097,Artificial Intelligence,80,N/A
Applied Computer Systems,2255-8683,2255-8691,Theory & Methods,63,N/A
